bridge_id,zendesk_ticket_id,fieldbeat_task_id,link_method,confidence,created_at
129036|1654,129036,1654,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
888917|1655,888917,1655,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
804518|1657,804518,1657,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1658,777777,1658,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1659,0101,1659,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1660,0101,1660,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
292917|1667,292917,1667,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
386771|1668,386771,1668,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
596438|1669,596438,1669,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
386771|1671,386771,1671,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
692161|1672,692161,1672,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
475039|1674,475039,1674,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
596438|1675,596438,1675,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1678,9999,1678,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1679,9999,1679,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
650403|1680,650403,1680,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
475039|1681,475039,1681,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
599484|1682,599484,1682,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
236942|1691,236942,1691,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
235361|1702,235361,1702,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
236644|1704,236644,1704,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1705,9999,1705,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
523761|1709,523761,1709,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1710,9999,1710,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
879223|1714,879223,1714,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1715,777777,1715,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1716,777777,1716,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1717,9999,1717,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1724,777777,1724,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1728,0101,1728,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1729,0101,1729,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
814601|1732,814601,1732,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1734,9999,1734,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1735,9999,1735,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0|1738,0,1738,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
