equipment_internal_id,client_name,dolibarr_ref,dolibarr_label,previous_event_date,current_event_date,interval_days,interval_months,previous_fieldbeat_task_id,current_fieldbeat_task_id,event_count_for_machine_part,association_confidence_score,match_confidence,interval_confidence_score,interval_confidence_label,interval_confidence_factors,interval_status
Linac-153935,UC CHRISTUS - CECA,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2022-08-08T17:30:00.000Z,2022-10-03T11:30:00.000Z,56,1.83,1573,1652,8,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2022-10-03T11:30:00.000Z,2023-01-07T00:30:00.000Z,96,3.14,1652,1794,8,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2023-01-07T00:30:00.000Z,2025-08-25T12:20:00.000Z,961,31.59,1794,3270,8,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2025-08-25T12:20:00.000Z,2025-11-12T14:15:00.000Z,79,2.6,3270,3377,8,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2025-11-12T14:15:00.000Z,2026-03-07T16:36:00.000Z,115,3.78,3377,3575,8,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
OIS-FALP,FUNDACION ARTURO LOPEZ PEREZ,653950,HP 146GB 15K 6G SFF SAS SC HDD,,2018-12-15T13:00:46.951Z,,,,149,1,47,0.5,47,Baja,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
153038,FUNDACION ARTURO LOPEZ PEREZ,1014474,Cable Assy sw1/sw2 T,,2018-12-07T22:30:06.548Z,,,,135,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),03-999-1204,iGUIDE® calibration array MIMI,,2018-11-13T20:00:00.000Z,,,,100,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
153038,FUNDACION ARTURO LOPEZ PEREZ,1502613,Laser ODI Spares Kit,,2018-11-23T22:30:00.000Z,,,,116,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153935,UC CHRISTUS - CECA,1510260R,KV Detector Panel,2019-03-08T20:00:10.881Z,2019-03-09T11:30:00.000Z,1,0.02,224,225,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153038,FUNDACION ARTURO LOPEZ PEREZ,45133308790,TRANSFORMADOR GUN,,2019-03-11T12:10:18.063Z,,,,230,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153935,UC CHRISTUS - CECA,1502613,Laser ODI Spares Kit,2019-03-14T20:30:00.000Z,2020-04-28T23:30:00.000Z,411,13.51,234,650,4,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1502613,Laser ODI Spares Kit,2020-04-28T23:30:00.000Z,2024-06-10T22:00:00.000Z,1504,49.41,650,2500,4,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1502613,Laser ODI Spares Kit,2024-06-10T22:00:00.000Z,2024-07-11T23:25:00.000Z,31,1.02,2500,2554,4,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-105277,TORRE MÉDICA - RANCAGUA,1007897,"Spare Kit, Cathode filament carrier assy",,2019-02-21T18:00:00.000Z,,,,209,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-152171,CLINICA ALEMANA DE SANTIAGO,4513316484002R,"Filter, tubular, low",,2019-03-27T11:30:35.128Z,,,,245,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153038,FUNDACION ARTURO LOPEZ PEREZ,1016476,Leaf motor spares kit,,2019-03-16T11:00:00.000Z,,,,235,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),1502964,"SPARES KIT,LED FIELD LAMP",2019-03-15T22:00:15.672Z,2026-04-16T19:30:00.000Z,2589,85.05,236,3661,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153038,FUNDACION ARTURO LOPEZ PEREZ,1010848,"Mirror assembly, optics (Agility)",,2019-04-02T15:30:00.000Z,,,,252,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
