used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_name,raw_part_identifier,normalized_part_identifier,dolibarr_product_id,dolibarr_ref,dolibarr_barcode,dolibarr_label,match_method,match_confidence,match_status,needs_manual_review,candidate_dolibarr_product_ids
2190|9|0|45133165177,2190,,Thyratron e2V CX1154L,45133165177,45133165177,10716,45133165177,,THYRATRON e2v CX1154L,REF_EXACT,1,MATCHED,false,
2191|2|0|1553878,2191,381608,Z motor abd Brake,1553878,1553878,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11247|12176
2194|2|0|N/A,2194,,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2197|5|0|1509023,2197,888306,"cable assembly, area 60 to area 70",1509023,1509023,12216,1509023,,"Cable assembly, PL60kV1/8/9 to SK16kV8/9 and PL16kV1 HHC/Data trigger - Reeling",REF_EXACT,1,MATCHED,false,
2197|4|0|1509024,2197,888306,"cable assy, Area 60 to plgipi",1509024,1509024,12212,1509024,,"Cable Assy, Area 60 to PLGIPI 1",REF_EXACT,1,MATCHED,false,
2198|2|0|N/C,2198,,N/C,N/C,NC,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2199|2|0|N/A,2199,,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2201|2|0|,2201,,Tapete de identificación viales,,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2202|2|0|N/A,2202,,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2203|3|0|26786,2203,,jfkgkgkf,26786,26786,,,,,NONE,0,NO_MATCH,true,
2203|4|0|3678,2203,,bfjkfkf,3678,3678,,,,,NONE,0,NO_MATCH,true,
2203|2|0|256774,2203,,jfifkfof,256774,256774,,,,,NONE,0,NO_MATCH,true,
2205|2|0|N/A,2205,560333,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2208|2|0|,2208,,"paños microfibras
alcohol 70%
wd40
aceite triflow",,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2210|2|0|,2210,,"paños microfibras
wd40
aceite triflow
aceite para caja de motor
alcohol 70%
baterias 12V cant 2
",,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2214|2|0|,2214,593101,panel Xvi,,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
